Area,CancerType,Year,Sex,Race,AgeAdjustedRate,DeathCount,Population,population size,median age,median household income,NeverMarried Unemployed Male,NeverMarried Unemployed Female,Unemployed Male below line,Unemployed Female below line,4.00 of poverty threshold 65 years and over No health insurance coverage,MEDIAN HOUSEHOLD INCOME Living Alone 65 and over,MEDIAN HOUSEHOLD INCOME Not Living Alone 65 and over,Male Living alone,Female Living alone,Never Married Percentage,Unemployed Below Line,No Insurance Over 65 Below Line,Living Alone Percentage
Nevada,All Types of Cancer,2017,Male and Female,All Races,156.3,5283,2972405,2887725,37.7,55434,34511,23373,19627,17581,2377,27198,54795,153505,145577,0.020044844990433647,0.012884883428996874,0.0008231393224770365,0.10357011141988937
Idaho,All Types of Cancer,2017,Male and Female,All Races,153.2,3020,1718904,1657375,35.9,50985,13043,8996,7066,5906,230,24477,47566,72612,86543,0.013297533750659929,0.007826834602911231,0.00013877366317218494,0.09602835809638736
Wyoming,All Types of Cancer,2017,Male and Female,All Races,136.0,948,578934,583200,37.0,60938,4656,2443,2094,1833,74,28109,63704,32734,32514,0.012172496570644719,0.006733539094650205,0.0001268861454046639,0.1118792866941015
Colorado,All Types of Cancer,2017,Male and Female,All Races,131.1,7829,5615902,5436519,36.5,65458,48543,30309,21924,19648,1314,30413,63683,268365,298983,0.014504133987207624,0.0076468048764292,0.00024169877820715794,0.10435868981603853
Georgia,All Types of Cancer,2017,Male and Female,All Races,155.4,17135,10413055,10201635,36.4,52977,113761,96225,57643,72843,3374,24971,51097,426811,556204,0.02058356332097747,0.012790694824898165,0.00033073129944366763,0.09635857389526287
Montana,All Types of Cancer,2017,Male and Female,All Races,152.1,2145,1053090,1029862,39.8,50801,7871,4496,4586,3555,126,24645,59076,62013,65703,0.012008405009603228,0.00790494260396053,0.00012234648914126358,0.12401273180290175
Texas,All Types of Cancer,2017,Male and Female,All Races,147.3,40668,28322717,27419612,34.3,57051,236953,172816,109949,124794,16359,26145,51062,1100507,1251742,0.014944376309920068,0.008561135000743264,0.0005966167573778943,0.08578710012380919
New Mexico,All Types of Cancer,2017,Male and Female,All Races,138.2,3620,2093395,2084828,37.3,46718,25416,16614,15033,14125,1000,25465,49917,108694,124437,0.020159936455189587,0.013985806023326625,0.000479655875688546,0.11182265395514641
Utah,All Types of Cancer,2017,Male and Female,All Races,121.0,3160,3103118,2993941,30.5,65325,20902,13961,8770,8605,868,29952,57951,84779,95270,0.011644518044944773,0.005803387575105855,0.000289918872816799,0.060137791626488295
California,All Types of Cancer,2017,Male and Female,All Races,137.2,59515,39399349,38982847,36.1,67169,479114,337696,222854,218801,17678,30557,64011,1378550,1697133,0.02095306174020589,0.011329470112842195,0.000453481501748705,0.07889836778724756
Alaska,All Types of Cancer,2017,Male and Female,All Races,139.8,926,739786,738565,33.9,76114,10535,5475,4418,3161,494,33293,66908,35623,28721,0.021677171271316676,0.010261791446927487,0.0006688646226127693,0.08712029408379764
Oregon,All Types of Cancer,2017,Male and Female,All Races,154.1,8083,4146592,4025127,39.2,56119,43276,28696,24537,23727,670,28098,49159,192098,243275,0.017880678050655296,0.011990677561229745,0.00016645437522840893,0.10816379209898222
Virginia,All Types of Cancer,2017,Male and Female,All Races,152.5,15064,8465207,8365952,38.0,68766,75992,55828,30703,36068,3328,32555,67213,355685,475527,0.015756724399088113,0.007981279357089307,0.0003978029039611989,0.09935653467770315
