STATE,AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE,County,County Name,lat,lng,Ratings
AK,AK: Aleutians West Census Area (02016) - 1994+,86.1,303.0,174.5,23,Mortality,28804,All Races,Male and Female,All Cancer Sites Combined,2013-2017,50.6,119.8,79.9, Aleutians West Census Area (02016) - 1994+, Aleutians West Census Area ,52.3232697,-174.1596072,1.745
AK,AK: Anchorage Municipality (02020) - 1990+,144.9,159.9,152.2,1824,Mortality,1490175,All Races,Male and Female,All Cancer Sites Combined,2013-2017,116.8,128.2,122.4, Anchorage Municipality (02020) - 1990+, Anchorage Municipality ,61.2180556,-149.9002778,1.5219999999999998
AK,AK: Bethel Census Area (02050) - 1990+,144.5,233.2,185.5,89,Mortality,89833,All Races,Male and Female,All Cancer Sites Combined,2013-2017,79.6,121.9,99.1, Bethel Census Area (02050) - 1990+, Bethel Census Area ,61.09344600000001,-160.8640773,1.855
AK,AK: Dillingham Census Area (02070) - 1994+,133.6,282.4,198.8,36,Mortality,24854,All Races,Male and Female,All Cancer Sites Combined,2013-2017,101.4,200.5,144.8, Dillingham Census Area (02070) - 1994+, Dillingham Census Area ,59.80677919999999,-157.7242585,1.9880000000000002
AK,AK: Fairbanks North Star Borough (02090) - 1990+,136.1,164.4,149.8,532,Mortality,500222,All Races,Male and Female,All Cancer Sites Combined,2013-2017,97.5,115.8,106.4, Fairbanks North Star Borough (02090) - 1990+, Fairbanks North Star Borough ,64.9526102,-146.4744154,1.4980000000000002
AK,AK: Haines Borough (02100) - 1990+,92.7,236.4,151.5,23,Mortality,12674,All Races,Male and Female,All Cancer Sites Combined,2013-2017,115.0,272.3,181.5, Haines Borough (02100) - 1990+, Haines Borough ,59.1392237,-135,1.515
AK,AK: Hoonah-Angoon Census Area (02105) - 2015+,105.6,273.7,172.1,23,Mortality,8507,All Races,Male and Female,All Cancer Sites Combined,2013-2017,171.4,405.7,270.4, Hoonah-Angoon Census Area (02105) - 2015+, Hoonah-Angoon Census Area ,58.31765049999999,-136.0390896,1.7209999999999999
AK,AK: Juneau City and Borough (02110) - 1990+,141.3,187.9,163.4,236,Mortality,162125,All Races,Male and Female,All Cancer Sites Combined,2013-2017,127.6,165.4,145.6, Juneau City and Borough (02110) - 1990+, Juneau City and Borough ,58.3019444,-134.4197221,1.6340000000000001
AK,AK: Kenai Peninsula Borough (02122) - 1990+,144.2,173.6,158.4,531,Mortality,289583,All Races,Male and Female,All Cancer Sites Combined,2013-2017,168.1,199.6,183.4, Kenai Peninsula Borough (02122) - 1990+, Kenai Peninsula Borough ,60.0858486,-151.382264,1.584
AK,AK: Ketchikan Gateway Borough (02130) - 1990+,111.9,171.3,139.3,100,Mortality,69025,All Races,Male and Female,All Cancer Sites Combined,2013-2017,117.9,176.2,144.9, Ketchikan Gateway Borough (02130) - 1990+, Ketchikan Gateway Borough ,55.5103345,-131.389286,1.393
