SummaryLevel,StateCode,CountyCode,CountySubdivisionCode,PlaceCode,ConsolidtatedCityCode,Area Name,STATE,AGE_ADJUSTED_RATE,COUNT,POPULATION,County,County Name,lat,lng,Ratings,State_County_x,State_ID_x,County_ID_x,population size,median age,median household income,NeverMarried Unemployed Male,NeverMarried Unemployed Female,Unemployed Male below line,Unemployed Female below line,4.00 of poverty threshold 65 years and over No health insurance coverage,MEDIAN HOUSEHOLD INCOME Living Alone 65 and over,MEDIAN HOUSEHOLD INCOME Not Living Alone 65 and over,Male Living alone,Female Living alone,Per Capita Income,Poverty Count,Total No Computer,County_State,County_Name,State,State_County_y,State_ID_y,County_ID_y,MUA/P,Never Married Percentage,Unemployed Below Line,No Insurance Over 65 Below Line,Living Alone Percentage,Income,Poverty,No Computer
50,1,1,0,0,0,Autauga County,AL,178.3,556,275112, Autauga County (01001), Autauga County ,32.5791817,-86.4996546,1.783,1001,1,1,55036,37.8,55317,384,335,155,233,0,35098,38750,2567,2916,27824,7483,4846,"Autauga County, Alabama",Autauga County, Alabama,01> county:001,1,1,01001,0.013064176,0.007049931,0,0.0996257,5.5317,0.13596555,0.088051457
50,1,3,0,0,0,Baldwin County,AL,165.3,2331,1017401, Baldwin County (01003), Baldwin County ,30.6010744,-87.7763333,1.653,1003,1,3,203360,42.6,52562,1557,1131,739,753,0,33170,49873,9491,13677,29364,23728,16581,"Baldwin County, Alabama",Baldwin County, Alabama,01> county:003,1,3,01003,0.013217939,0.007336743,0,0.113926042,5.2562,0.11667978,0.081535208
50,1,5,0,0,0,Barbour County,AL,179.2,301,130973, Barbour County (01005), Barbour County ,31.8172896,-85.354965,1.792,1005,1,5,26201,39.7,33368,383,309,175,288,0,18269,-666666666,1313,1623,17561,6332,4693,"Barbour County, Alabama",Barbour County, Alabama,01> county:005,1,5,01005,0.026411206,0.017671081,0,0.112056792,3.3368,0.241670165,0.179115301
50,1,7,0,0,0,Bibb County,AL,189,251,112750, Bibb County (01007), Bibb County ,32.9562798,-87.1422895,1.89,1007,1,7,22580,39.8,43404,247,114,62,95,0,21833,-666666666,674,808,20911,3133,4001,"Bibb County, Alabama",Bibb County, Alabama,01> county:007,1,7,01007,0.0159876,0.006953056,0,0.065633304,4.3404,0.138751107,0.177192205
50,1,9,0,0,0,Blount County,AL,175.3,653,287998, Blount County (01009), Blount County ,34.0145152,-86.4996546,1.753,1009,1,9,57667,40.9,47412,254,98,194,100,0,21583,-666666666,2188,2782,22021,8919,8447,"Blount County, Alabama",Blount County, Alabama,01> county:009,1,9,01009,0.006104011,0.005098236,0,0.086184473,4.7412,0.154663846,0.146478922
50,1,11,0,0,0,Bullock County,AL,227.7,143,52173, Bullock County (01011), Bullock County ,32.0573536,-85.7256372,2.277,1011,1,11,10478,40.8,29655,302,165,107,105,0,21494,-666666666,500,608,20856,2852,2875,"Bullock County, Alabama",Bullock County, Alabama,01> county:011,1,11,01011,0.044569574,0.020232869,0,0.105745371,2.9655,0.272189349,0.274384425
50,1,13,0,0,0,Butler County,AL,170.3,244,100820, Butler County (01013), Butler County ,31.6760284,-86.6611083,1.703,1013,1,13,20126,40.7,36326,126,255,163,164,0,17056,-666666666,807,1366,19004,4835,4912,"Butler County, Alabama",Butler County, Alabama,01> county:013,1,13,01013,0.018930736,0.01624764,0,0.10796979,3.6326,0.24023651,0.244062407
50,1,15,0,0,0,Calhoun County,AL,179.6,1309,577754, Calhoun County (01015), Calhoun County ,33.7701576,-85.80766,1.796,1015,1,15,115527,39.1,43686,1413,1230,895,1216,0,27310,39844,5377,6917,23638,20940,12881,"Calhoun County, Alabama",Calhoun County, Alabama,01> county:015,1,15,01015,0.022877769,0.018272785,0,0.106416682,4.3686,0.18125633,0.111497745
50,1,17,0,0,0,Chambers County,AL,190.9,452,169659, Chambers County (01017), Chambers County ,32.9028048,-85.354965,1.909,1017,1,17,33895,43,37342,343,265,195,317,0,19441,-666666666,1806,2620,22002,6288,6816,"Chambers County, Alabama",Chambers County, Alabama,01> county:017,1,17,01017,0.017937749,0.015105473,0,0.130579732,3.7342,0.185514088,0.201091606
50,1,19,0,0,0,Cherokee County,AL,201.8,390,129257, Cherokee County (01019), Cherokee County ,34.1665322,-85.684578,2.018,1019,1,19,25855,46.1,40041,209,92,189,62,0,16667,-666666666,1511,1499,23010,4104,3467,"Cherokee County, Alabama",Cherokee County, Alabama,01> county:019,1,19,01019,0.011641849,0.009707987,0,0.116418488,4.0041,0.158731387,0.134093986
50,1,21,0,0,0,Chilton County,AL,180.4,476,219133, Chilton County (01021), Chilton County ,32.944392,-86.6611083,1.804,1021,1,21,43805,38.9,43501,513,113,335,166,0,25523,-666666666,2039,2182,23368,8392,7750,"Chilton County, Alabama",Chilton County, Alabama,01> county:021,1,21,01021,0.014290606,0.011437051,0,0.096358863,4.3501,0.191576304,0.176920443
50,1,23,0,0,0,Choctaw County,AL,145.7,149,65930, Choctaw County (01023), Choctaw County ,32.0716631,-88.2461183,1.457,1023,1,23,13188,45.8,32122,218,176,107,120,0,18548,-666666666,824,904,20994,2903,2741,"Choctaw County, Alabama",Choctaw County, Alabama,01> county:023,1,23,01023,0.029875645,0.017212618,0,0.131028207,3.2122,0.220124355,0.207840461
50,1,25,0,0,0,Clarke County,AL,160,274,123136, Clarke County (01025), Clarke County ,31.7002461,-87.7763333,1.6,1025,1,25,24625,42.2,33827,342,503,323,493,0,22292,-666666666,1357,1929,20765,6108,7884,"Clarke County, Alabama",Clarke County, Alabama,01> county:025,1,25,01025,0.034314721,0.033137056,0,0.133441624,3.3827,0.248040609,0.320162437
50,1,27,0,0,0,Clay County,AL,161.2,158,67017, Clay County (01027), Clay County ,33.279527,-85.8486236,1.612,1027,1,27,13407,43.8,37287,124,58,80,64,0,16635,-666666666,651,800,21330,2493,2150,"Clay County, Alabama",Clay County, Alabama,01> county:027,1,27,01027,0.013574998,0.010740658,0,0.108227046,3.7287,0.185947639,0.160363989
50,1,29,0,0,0,Cleburne County,AL,168.9,179,74677, Cleburne County (01029), Cleburne County ,33.6261707,-85.520024,1.689,1029,1,29,14939,41.7,37396,179,81,101,80,0,17734,-666666666,709,1030,20873,2800,2516,"Cleburne County, Alabama",Cleburne County, Alabama,01> county:029,1,29,01029,0.01740411,0.012115938,0,0.116406721,3.7396,0.187428877,0.168418234
50,1,31,0,0,0,Coffee County,AL,168,529,255206, Coffee County (01031), Coffee County ,31.4751172,-86.0121573,1.68,1031,1,31,51073,39.3,49821,344,243,137,289,2,31941,61573,2926,2581,26216,8122,5216,"Coffee County, Alabama",Coffee County, Alabama,01> county:031,1,31,01031,0.011493353,0.008341002,3.92E-05,0.107826053,4.9821,0.159027275,0.102128326
50,1,33,0,0,0,Colbert County,AL,173.5,681,272247, Colbert County (01033), Colbert County ,34.7117567,-87.8942451,1.735,1033,1,33,54435,42.5,45477,467,295,306,371,0,22000,75625,2695,3659,23675,9056,7551,"Colbert County, Alabama",Colbert County, Alabama,01> county:033,1,33,01033,0.013998347,0.012436851,0,0.116726371,4.5477,0.166363553,0.1387159
50,1,35,0,0,0,Conecuh County,AL,172.3,168,63206, Conecuh County (01035), Conecuh County ,31.501571,-86.9824288,1.723,1035,1,35,12649,44.5,30434,288,264,81,207,0,12342,-666666666,844,744,16337,3316,4943,"Conecuh County, Alabama",Conecuh County, Alabama,01> county:035,1,35,01035,0.043639813,0.022768598,0,0.125543521,3.0434,0.262155111,0.39078188
50,1,37,0,0,0,Coosa County,AL,169.2,147,54815, Coosa County (01037), Coosa County ,32.8897772,-86.2196937,1.692,1037,1,37,10955,45.9,34792,188,110,67,77,24,16932,-666666666,840,679,20342,1513,2221,"Coosa County, Alabama",Coosa County, Alabama,01> county:037,1,37,01037,0.027202191,0.013144683,0.00219078,0.138658147,3.4792,0.138110452,0.202738476
50,1,39,0,0,0,Covington County,AL,192.8,535,187579, Covington County (01039), Covington County ,31.3066438,-86.4996546,1.928,1039,1,39,37519,43.4,39467,539,477,323,404,0,24034,58281,1660,2700,22431,6491,6920,"Covington County, Alabama",Covington County, Alabama,01> county:039,1,39,01039,0.027079613,0.019376849,0,0.116207788,3.9467,0.173005677,0.184439884
