"Year","State","Rate","Deaths","Url"
"2018","AL","170.4","10632","/nchs/pressroom/states/alabama/al.htm"
"2018","AK","141.5","957","/nchs/pressroom/states/alaska/ak.htm"
"2018","AZ","131.9","12113","/nchs/pressroom/states/arizona/az.htm"
"2018","AR","168.8","6491","/nchs/pressroom/states/arkansas/ar.htm"
"2018","CA","135","59962","/nchs/pressroom/states/california/ca.htm"
"2018","CO","127.6","7812","/nchs/pressroom/states/colorado/co.htm"
"2018","CT","134.1","6472","/nchs/pressroom/states/connecticut/ct.htm"
"2018","DE","159.4","2101","/nchs/pressroom/states/delaware/de.htm"
"2018","FL","141.7","45281","/nchs/pressroom/states/florida/fl.htm"
"2018","GA","152.4","17397","/nchs/pressroom/states/georgia/ga.htm"
"2018","HI","123.5","2405","/nchs/pressroom/states/hawaii/hi.htm"
"2018","ID","149.5","3049","/nchs/pressroom/states/idaho/id.htm"
"2018","IL","153.5","23885","/nchs/pressroom/states/illinois/il.htm"
"2018","IN","165.7","13479","/nchs/pressroom/states/indiana/in.htm"
"2018","IA","155.3","6427","/nchs/pressroom/states/iowa/ia.htm"
"2018","KS","156.4","5607","/nchs/pressroom/states/kansas/ks.htm"
"2018","KY","181.6","10135","/nchs/pressroom/states/kentucky/ky.htm"
"2018","LA","169","9382","/nchs/pressroom/states/louisiana/la.htm"
"2018","ME","162.1","3275","/nchs/pressroom/states/maine/me.htm"
"2018","MD","149.9","10927","/nchs/pressroom/states/maryland/md.htm"
"2018","MA","142.8","12635","/nchs/pressroom/states/massachusetts/ma.htm"
"2018","MI","161.1","21018","/nchs/pressroom/states/michigan/mi.htm"
"2018","MN","143.1","9910","/nchs/pressroom/states/minnesota/mn.htm"
"2018","MS","179.7","6510","/nchs/pressroom/states/mississippi/ms.htm"
"2018","MO","165.3","13040","/nchs/pressroom/states/missouri/mo.htm"
"2018","MT","140.7","2038","/nchs/pressroom/states/montana/mt.htm"
"2018","NE","150.5","3516","/nchs/pressroom/states/nebraska/ne.htm"
"2018","NV","146.5","5195","/nchs/pressroom/states/nevada/nv.htm"
"2018","NH","143.7","2711","/nchs/pressroom/states/newhampshire/nh.htm"
"2018","NJ","141.3","16011","/nchs/pressroom/states/newjersey/nj.htm"
"2018","NM","136.4","3672","/nchs/pressroom/states/newmexico/nm.htm"
"2018","NY","138.2","34491","/nchs/pressroom/states/newyork/ny.htm"
"2018","NC","154.2","19671","/nchs/pressroom/states/northcarolina/nc.htm"
"2018","ND","145.2","1320","/nchs/pressroom/states/northdakota/nd.htm"
"2018","OH","165.2","25164","/nchs/pressroom/states/ohio/oh.htm"
"2018","OK","178.1","8424","/nchs/pressroom/states/oklahoma/ok.htm"
"2018","OR","150.6","8159","/nchs/pressroom/states/oregon/or.htm"
"2018","PA","156.6","28023","/nchs/pressroom/states/pennsylvania/pa.htm"
"2018","RI","151.6","2176","/nchs/pressroom/states/rhodeisland/ri.htm"
"2018","SC","157.3","10365","/nchs/pressroom/states/southcarolina/sc.htm"
"2018","SD","145.2","1632","/nchs/pressroom/states/southdakota/sd.htm"
"2018","TN","168","14141","/nchs/pressroom/states/tennessee/tn.htm"
"2018","TX","142.9","40866","/nchs/pressroom/states/texas/tx.htm"
"2018","UT","120","3264","/nchs/pressroom/states/utah/ut.htm"
"2018","VT","156","1388","/nchs/pressroom/states/vermont/vt.htm"
"2018","VA","149.3","15148","/nchs/pressroom/states/virginia/va.htm"
"2018","WA","145.3","12791","/nchs/pressroom/states/washington/wa.htm"
"2018","WV","179.5","4682","/nchs/pressroom/states/westvirginia/wv.htm"
"2018","WI","151.5","11457","/nchs/pressroom/states/wisconsin/wi.htm"
"2018","WY","140.6","997","/nchs/pressroom/states/wyoming/wy.htm"
