YEAR,STATE,RATE,DEATHS,URL
2018,Alabama,170.4,10632,/nchs/pressroom/states/alabama/al.htm
2018,Alaska,141.5,957,/nchs/pressroom/states/alaska/ak.htm
2018,Arizona,131.9,12113,/nchs/pressroom/states/arizona/az.htm
2018,Arkansas,168.8,6491,/nchs/pressroom/states/arkansas/ar.htm
2018,California,135,59962,/nchs/pressroom/states/california/ca.htm
2018,Colorado,127.6,7812,/nchs/pressroom/states/colorado/co.htm
2018,Connecticut,134.1,6472,/nchs/pressroom/states/connecticut/ct.htm
2018,Delaware,159.4,2101,/nchs/pressroom/states/delaware/de.htm
2018,Florida,141.7,45281,/nchs/pressroom/states/florida/fl.htm
2018,Georgia,152.4,17397,/nchs/pressroom/states/georgia/ga.htm
2018,Hawaii,123.5,2405,/nchs/pressroom/states/hawaii/hi.htm
2018,Idaho,149.5,3049,/nchs/pressroom/states/idaho/id.htm
2018,Illinois,153.5,23885,/nchs/pressroom/states/illinois/il.htm
2018,Indiana,165.7,13479,/nchs/pressroom/states/indiana/in.htm
2018,Iowa,155.3,6427,/nchs/pressroom/states/iowa/ia.htm
2018,Kansas,156.4,5607,/nchs/pressroom/states/kansas/ks.htm
2018,Kentucky,181.6,10135,/nchs/pressroom/states/kentucky/ky.htm
2018,Louisiana,169,9382,/nchs/pressroom/states/louisiana/la.htm
2018,Maine,162.1,3275,/nchs/pressroom/states/maine/me.htm
2018,Maryland,149.9,10927,/nchs/pressroom/states/maryland/md.htm
2018,Massachusetts,142.8,12635,/nchs/pressroom/states/massachusetts/ma.htm
2018,Michigan,161.1,21018,/nchs/pressroom/states/michigan/mi.htm
2018,Minnesota,143.1,9910,/nchs/pressroom/states/minnesota/mn.htm
2018,Mississippi,179.7,6510,/nchs/pressroom/states/mississippi/ms.htm
2018,Missouri,165.3,13040,/nchs/pressroom/states/missouri/mo.htm
2018,Montana,140.7,2038,/nchs/pressroom/states/montana/mt.htm
2018,Nebraska,150.5,3516,/nchs/pressroom/states/nebraska/ne.htm
2018,Nevada,146.5,5195,/nchs/pressroom/states/nevada/nv.htm
2018,New Hampshire,143.7,2711,/nchs/pressroom/states/newhampshire/nh.htm
2018,New Jersey,141.3,16011,/nchs/pressroom/states/newjersey/nj.htm
2018,New Mexico,136.4,3672,/nchs/pressroom/states/newmexico/nm.htm
2018,New York,138.2,34491,/nchs/pressroom/states/newyork/ny.htm
2018,North Carolina,154.2,19671,/nchs/pressroom/states/northcarolina/nc.htm
2018,North Dakota,145.2,1320,/nchs/pressroom/states/northdakota/nd.htm
2018,Ohio,165.2,25164,/nchs/pressroom/states/ohio/oh.htm
2018,Oklahoma,178.1,8424,/nchs/pressroom/states/oklahoma/ok.htm
2018,Oregon,150.6,8159,/nchs/pressroom/states/oregon/or.htm
2018,Pennsylvania,156.6,28023,/nchs/pressroom/states/pennsylvania/pa.htm
2018,Rhode Island,151.6,2176,/nchs/pressroom/states/rhodeisland/ri.htm
2018,South Carolina,157.3,10365,/nchs/pressroom/states/southcarolina/sc.htm
2018,South Dakota,145.2,1632,/nchs/pressroom/states/southdakota/sd.htm
2018,Tennessee,168,14141,/nchs/pressroom/states/tennessee/tn.htm
2018,Texas,142.9,40866,/nchs/pressroom/states/texas/tx.htm
2018,Utah,120,3264,/nchs/pressroom/states/utah/ut.htm
2018,Vermont,156,1388,/nchs/pressroom/states/vermont/vt.htm
2018,Virginia,149.3,15148,/nchs/pressroom/states/virginia/va.htm
2018,Washington,145.3,12791,/nchs/pressroom/states/washington/wa.htm
2018,West Virginia,179.5,4682,/nchs/pressroom/states/westvirginia/wv.htm
2018,Wisconsin,151.5,11457,/nchs/pressroom/states/wisconsin/wi.htm
2018,Wyoming,140.6,997,/nchs/pressroom/states/wyoming/wy.htm
