Area,CancerType,Year,Sex,Race,AgeAdjustedRate,DeathCount,Population,population size,median age,median household income,NeverMarried Unemployed Male,NeverMarried Unemployed Female,Unemployed Male below line,Unemployed Female below line,4.00 of poverty threshold 65 years and over No health insurance coverage,MEDIAN HOUSEHOLD INCOME Living Alone 65 and over,MEDIAN HOUSEHOLD INCOME Not Living Alone 65 and over,Male Living alone,Female Living alone,Never Married Percentage,Unemployed Below Line,No Insurance Over 65 Below Line,Living Alone Percentage
Nevada,All Types of Cancer,2017,Male and Female,All Races,156.3,5283,2972405,2887725,37.7,55434,34511,23373,19627,17581,2377,27198,54795,153505,145577,0.020044844990433600,0.012884883428996900,0.0008231393224770370,0.10357011141988900
Idaho,All Types of Cancer,2017,Male and Female,All Races,153.2,3020,1718904,1657375,35.9,50985,13043,8996,7066,5906,230,24477,47566,72612,86543,0.013297533750659900,0.007826834602911230,0.00013877366317218500,0.09602835809638740
Wyoming,All Types of Cancer,2017,Male and Female,All Races,136.0,948,578934,583200,37.0,60938,4656,2443,2094,1833,74,28109,63704,32734,32514,0.012172496570644700,0.006733539094650210,0.0001268861454046640,0.1118792866941020
Colorado,All Types of Cancer,2017,Male and Female,All Races,131.1,7829,5615902,5436519,36.5,65458,48543,30309,21924,19648,1314,30413,63683,268365,298983,0.014504133987207600,0.0076468048764292,0.00024169877820715800,0.10435868981603900
Georgia,All Types of Cancer,2017,Male and Female,All Races,155.4,17135,10413055,10201635,36.4,52977,113761,96225,57643,72843,3374,24971,51097,426811,556204,0.02058356332097750,0.012790694824898200,0.00033073129944366800,0.09635857389526290
Montana,All Types of Cancer,2017,Male and Female,All Races,152.1,2145,1053090,1029862,39.8,50801,7871,4496,4586,3555,126,24645,59076,62013,65703,0.012008405009603200,0.00790494260396053,0.00012234648914126400,0.12401273180290200
Texas,All Types of Cancer,2017,Male and Female,All Races,147.3,40668,28322717,27419612,34.3,57051,236953,172816,109949,124794,16359,26145,51062,1100507,1251742,0.014944376309920100,0.008561135000743260,0.0005966167573778940,0.08578710012380920
New Mexico,All Types of Cancer,2017,Male and Female,All Races,138.2,3620,2093395,2084828,37.3,46718,25416,16614,15033,14125,1000,25465,49917,108694,124437,0.020159936455189600,0.013985806023326600,0.000479655875688546,0.11182265395514600
Utah,All Types of Cancer,2017,Male and Female,All Races,121.0,3160,3103118,2993941,30.5,65325,20902,13961,8770,8605,868,29952,57951,84779,95270,0.011644518044944800,0.005803387575105860,0.000289918872816799,0.060137791626488300
California,All Types of Cancer,2017,Male and Female,All Races,137.2,59515,39399349,38982847,36.1,67169,479114,337696,222854,218801,17678,30557,64011,1378550,1697133,0.02095306174020590,0.011329470112842200,0.000453481501748705,0.07889836778724760
