CancerType,Race,Sex,Age,Rate,lci,uci,Count,Population
'All Alcohol-associated Cancers','All Races','Male and Female','<20','1.0','1.0','1.1','847','82066030'
'All Alcohol-associated Cancers','All Races','Male and Female','20-24','3.7','3.4','4.0','815','22065664'
'All Alcohol-associated Cancers','All Races','Male and Female','25-29','9.8','9.4','10.2','2281','23336175'
'All Alcohol-associated Cancers','All Races','Male and Female','30-34','23.3','22.6','23.9','5104','21938443'
'All Alcohol-associated Cancers','All Races','Male and Female','35-39','46.9','46.0','47.8','9935','21190454'
'All Alcohol-associated Cancers','All Races','Male and Female','40-44','91.8','90.4','93.1','17980','19590752'
'All Alcohol-associated Cancers','All Races','Male and Female','45-49','151.4','149.8','153.1','31673','20916186'
'All Alcohol-associated Cancers','All Races','Male and Female','50-54','217.3','215.3','219.3','46390','21347575'
'All Alcohol-associated Cancers','All Races','Male and Female','55-59','272.2','270.0','274.4','59779','21959910'
'All Alcohol-associated Cancers','All Races','Male and Female','60-64','350.5','347.9','353.1','69897','19942009'
'All Alcohol-associated Cancers','All Races','Male and Female','65-69','446.0','442.8','449.2','74944','16803000'
'All Alcohol-associated Cancers','All Races','Male and Female','70-74','493.9','490.0','497.7','63363','12829683'
'All Alcohol-associated Cancers','All Races','Male and Female','75-79','535.5','530.7','540.4','46752','8730528'
'All Alcohol-associated Cancers','All Races','Male and Female','80-84','555.9','549.9','561.9','33131','5960298'
'All Alcohol-associated Cancers','All Races','Male and Female','85+','518.7','513.1','524.2','33559','6470414'
