Rank,State,Gallons of Ethanol Per Capita*
1,New Hampshire,1.79
2,Montana,1.6
3,Vermont,1.53
4,North Dakota,1.5
5,South Dakota,1.37
6,Nevada,1.35
7,Maine,1.34
8,Wisconsin,1.29
8,Pennsylvania,1.29
10,Hawaii,1.28
11,Iowa,1.24
12,Louisiana,1.23
13,Nebraska,1.22
13,Wyoming,1.22
15,Mississippi,1.21
15,Oregon,1.21
15,Texas,1.21
18,West Virginia,1.15
19,Colorado,1.14
19,Minnesota,1.14
21,Delaware,1.11
21,Missouri,1.11
21,South Carolina,1.11
24,Ohio,1.1
25,Arizona,1.08
25,Dist. Of Columb.,1.08
25,Illinois,1.08
28,New Mexico,1.07
29,Alaska,1.06
30,Florida,1.05
31,Alabama,1.04
31,North Carolina,1.04
33,California,1
33,Michigan,1
33,Oklahoma,1
36,Kansas,0.99
37,Tennessee,0.98
38,Indiana,0.96
39,Georgia,0.95
40,Virginia,0.94
41,Kentucky,0.93
42,Massachusetts,0.91
42,Washington,0.91
44,Arkansas,0.9
44,Idaho,0.9
44,Rhode Island,0.9
47,New York,0.88
48,Connecticut,0.8
48,New Jersey,0.8
50,Maryland,0.78
51,Utah,0.58
