CancerType,Year,Age,AgeSpecificRate,DeathCount,Population
'All Cancer Sites Combined','2017','<1','1.5','57','3893945'
'All Cancer Sites Combined','2017','1-4','2.0','325','15998022'
'All Cancer Sites Combined','2017','5-9','2.1','418','20304937'
'All Cancer Sites Combined','2017','10-14','2.1','437','20765794'
'All Cancer Sites Combined','2017','15-19','2.7','560','21103332'
'All Cancer Sites Combined','2017','20-24','3.7','814','22065664'
'All Cancer Sites Combined','2017','25-29','5.6','1301','23336175'
'All Cancer Sites Combined','2017','30-34','10.6','2315','21938443'
'All Cancer Sites Combined','2017','35-39','19.4','4104','21190454'
'All Cancer Sites Combined','2017','40-44','34.7','6796','19590752'
'All Cancer Sites Combined','2017','45-49','62.7','13108','20916186'
'All Cancer Sites Combined','2017','50-54','122.5','26158','21347575'
'All Cancer Sites Combined','2017','55-59','217.0','47646','21959910'
'All Cancer Sites Combined','2017','60-64','336.8','67164','19942009'
'All Cancer Sites Combined','2017','65-69','485.7','81606','16803000'
'All Cancer Sites Combined','2017','70-74','677.0','86852','12829683'
'All Cancer Sites Combined','2017','75-79','938.7','81955','8730528'
'All Cancer Sites Combined','2017','80-84','1240.9','73962','5960298'
'All Cancer Sites Combined','2017','85+','1599.9','103521','6470414'
